1,"11RS","99RW",,2,1
2,"18W","ACC",11,3,1
3,"19FS","3FW",,2,1
4,"20BS","2BW",,2,1
5,"20FW","ACC",17,3,1
6,"22FS","52FW",,2,1
7,"23FS","52FW",,2,1
8,"23FW","ACC",14,3,1
9,"27FW","ACC",5,3,1
10,"28BW","ACC",7,3,1
11,"2BW","ACC",3,3,1
12,"336FS","4FW",,2,1
13,"33FW","ACC",6,3,1
14,"37BS","28BW",,2,1
15,"388FW","ACC",10,3,1
16,"3FW","ACC",8,3,1
17,"421FS","388FW",,2,1
18,"44FS","18W",,2,1
19,"48FW","ACC",12,3,1
20,"494FS","48FW",,2,1
21,"4FW","ACC",16,3,1
22,"52FW","ACC",18,3,1
23,"60FS","33FW",,2,1
24,"75FS","23FW",,2,1
25,"79FS","20FW",,2,1
26,"81FS","52FW",,2,1
27,"96BS","2BW",,2,1
28,"99RW","ACC",13,3,1
29,"9RS","9RW",,2,1
30,"9RW","ACC",4,3,1
31,"ACC","JFACC",,1,1
32,"AEF","ACC",,1,1
33,"AFFOR","JFACC",,1,1
34,"AvianoAFB","ACC",2,1,2
35,"JFACC",,9,1,1
36,"LRC","AFFOR",,1,1
37,"PrinceSultanAFB","ACC",1,1,2
38,"WRM","JFACC",15,1,1
39,"DhahranAFB","ACC",19,1,2
40,"DiegoGarciaAFB","ACC",20,1,2
41,"FujairahAFB","ACC",21,1,2
